Time [s],Current function [A],Voltage [V],Bulk open-circuit voltage [V]
0.0,0.0,3.4338450759857952,3.4340723804113167
1.0,0.0,3.433921906772246,3.4349734626079194
2.0,0.0,3.433885295736738,3.433292293525667
4.0,0.5,3.4141046517858884,3.433645741030835
6.0,0.5,3.4130958707112202,3.4343848484774813
8.0,0.5,3.412366446777409,3.433888885108858
10.0,0.5,3.4118730708393983,3.4331959258915727
12.0,0.5,3.411876630062718,3.433167739730586
14.0,0.5,3.4118374274666468,3.4331263069244207
16.0,0.5,3.410910556295994,3.4331655817332734
18.0,0.5,3.411040581191542,3.433480532029209
20.0,0.5,3.409660907539057,3.4329042023642846
22.0,0.5,3.4100949387867936,3.432768850491539
24.0,0.5,3.408179762113357,3.431974213838617
26.0,0.5,3.410180466764871,3.432709035559093
28.0,0.5,3.4084401679598804,3.432772197398321
30.0,0.5,3.40874211094515,3.4331712785096014
32.0,0.5,3.4080127865009167,3.431916851780859
34.0,0.5,3.4071643311431896,3.432606517394264
36.0,0.5,3.407343365209298,3.432545434038538
38.0,0.5,3.407957473976525,3.4323021866159302
40.0,0.5,3.4074207633495046,3.4322950348422583
42.0,0.5,3.407130262058414,3.4323104098861124
44.0,0.5,3.4069250295257265,3.431891485132852
46.0,0.5,3.406989719390839,3.4325245082708578
48.0,0.5,3.4062338375445393,3.4320935198362976
50.0,0.5,3.40638781679181,3.4329547859617713
52.0,0.5,3.405563916990594,3.4316124467174944
54.0,0.5,3.4051460871340566,3.4311674270890986
56.0,0.5,3.4052778710877396,3.431371470198446
58.0,0.5,3.405992597662703,3.4311289480637424
60.0,0.5,3.40515645361616,3.4310672116586405
62.0,0.5,3.4046192448852493,3.431907842577221
70.0,0.0,3.4259415044589154,3.432096904179364
78.0,0.0,3.4274402897155065,3.4318408518666237
86.0,0.0,3.428368508650941,3.4317143859272683
94.0,0.0,3.429046057604195,3.4308750060022866
102.0,0.0,3.4289214717118557,3.431013229049898
110.0,0.0,3.4289276352952185,3.4312321533602774
118.0,0.0,3.4300126488839493,3.4320117297540187
126.0,0.0,3.4294323613742965,3.4316805348659574
134.0,0.0,3.4296366893089982,3.430768888688659
142.0,0.0,3.4307609827487404,3.4309872358280433
150.0,0.0,3.4299051057969843,3.4316069634592443
158.0,0.0,3.430161607544102,3.4309665216629526
166.0,0.0,3.430224416501272,3.4314060511068742
174.0,0.0,3.4300515181654863,3.4314671867726596
182.0,0.0,3.4312362820527427,3.430365349465933
190.0,0.0,3.43171272214352,3.4314220570850287
198.0,0.0,3.4302364973558452,3.4305017310650348
206.0,0.0,3.431356434659797,3.4305729821040836
214.0,0.0,3.4303349167457085,3.4314368419655246
222.0,0.0,3.4308485885322164,3.4312123834618844
230.0,0.0,3.4311030687654616,3.431303340359212
238.0,0.0,3.430288188665478,3.431419402270544
246.0,0.0,3.4304401126752744,3.4310433772154116
254.0,0.0,3.4310829844126314,3.43135463056201
262.0,0.0,3.4310538206623717,3.4304783702761705
270.0,0.0,3.430795128875982,3.431527845976494
278.0,0.0,3.4303302718911497,3.432424488606651
286.0,0.0,3.4312053094295245,3.43162106939137
294.0,0.0,3.431062076041076,3.4315592994576027
302.0,0.0,3.431173882252932,3.430693167902607
310.0,0.0,3.430218518588862,3.430789875307945
318.0,0.0,3.430478225508175,3.4317495011659003
326.0,0.0,3.430586383089824,3.431409037303783
334.0,0.0,3.430591437161319,3.431557550440859
342.0,0.0,3.4305611525260393,3.4319374978324495
350.0,0.0,3.430597730331865,3.4317979561220686
358.0,0.0,3.4317168926277706,3.4311609619693964
366.0,0.0,3.4302694202457134,3.431099876144218
374.0,0.0,3.4306849108867317,3.431010212762524
382.0,0.0,3.4313946976826326,3.430534624846916
390.0,0.0,3.431216248268233,3.431221839958066
398.0,0.0,3.4303445792457827,3.4325007429181182
406.0,0.0,3.4304869325105765,3.43123499367906
414.0,0.0,3.430684505075958,3.4306077701377964
422.0,0.0,3.430388688726229,3.4313773967990966
430.0,0.0,3.4306752641516964,3.4309579721816656
438.0,0.0,3.4305788989314645,3.432008407556258
446.0,0.0,3.431414312350122,3.4312817560796263
454.0,0.0,3.4310627648315988,3.4314304296043527
462.0,0.0,3.431657228990166,3.431469417197593
470.0,0.0,3.431695889387539,3.430806135614308
478.0,0.0,3.431625755042427,3.431873750178406
486.0,0.0,3.4309800359172336,3.4311145197154347
494.0,0.0,3.4309504913831383,3.4304920578537526
502.0,0.0,3.431414040392749,3.4314793071022187
510.0,0.0,3.431523871005403,3.430830852148575
518.0,0.0,3.4313039329565904,3.4318812926789684
526.0,0.0,3.4324220208986693,3.4311308875678543
534.0,0.0,3.4314943706713583,3.431350182918518
542.0,0.0,3.43161247863988,3.431205487776872
550.0,0.0,3.4320913888201017,3.4307091800215663
558.0,0.0,3.4313677759763888,3.430959795698831
566.0,0.0,3.430866739675204,3.4312884270290773
574.0,0.0,3.4311692195602106,3.4315612253089345
582.0,0.0,3.4320242965516985,3.4314164659865676
590.0,0.0,3.431138404251856,3.4312843917829365
598.0,0.0,3.43079809758186,3.4318036321385175
606.0,0.0,3.431563840674601,3.431588636784743
614.0,0.0,3.431240650468923,3.4312322513430584
622.0,0.0,3.4309457456518153,3.4318623504165333
630.0,0.0,3.431244719042521,3.4312910324760995
638.0,0.0,3.4304808423129245,3.430601533051969
646.0,0.0,3.4311024346311663,3.431150666422398
654.0,0.0,3.4310605442689375,3.4311065912848697
662.0,0.0,3.4317289293247732,3.430936508376991
664.0,-0.5,3.45161736852094,3.4302257863726027
666.0,-0.5,3.4514501974058573,3.432102484506861
668.0,-0.5,3.452088449085441,3.4321068033269
670.0,-0.5,3.452960073267352,3.431866201722586
672.0,-0.5,3.4540798877005696,3.432029619000488
674.0,-0.5,3.454296459459356,3.4316050411593246
676.0,-0.5,3.454376533188298,3.4321833242293613
678.0,-0.5,3.455167747986423,3.431756719944725
680.0,-0.5,3.4551144834881082,3.4320892345419876
682.0,-0.5,3.455414379041222,3.432343746288304
684.0,-0.5,3.4560204040174023,3.4321874102046483
686.0,-0.5,3.455837940288843,3.4327455842668106
688.0,-0.5,3.4573310627167446,3.4317928022841633
690.0,-0.5,3.4572928593205687,3.433125197356994
692.0,-0.5,3.457031158121529,3.4326361392739817
694.0,-0.5,3.456933106672612,3.4323943350894948
696.0,-0.5,3.457531117475378,3.4323631181214727
698.0,-0.5,3.4575989127091353,3.4322502531654915
700.0,-0.5,3.4578682010126567,3.432236728050283
702.0,-0.5,3.4586265095512783,3.4331839414069902
704.0,-0.5,3.458414270286612,3.433225726694483
706.0,-0.5,3.458747100357594,3.4329682967448867
708.0,-0.5,3.4587208770136604,3.433490714179427
710.0,-0.5,3.459098848405441,3.432559717560491
712.0,-0.5,3.459562013028871,3.434353363365403
714.0,-0.5,3.458952154674663,3.4330090416763412
716.0,-0.5,3.4597761740265978,3.433731136286936
718.0,-0.5,3.4608238826507898,3.4343166537313654
720.0,-0.5,3.459620329911879,3.433309226505556
722.0,-0.5,3.4602219720609684,3.433223999120675
730.0,0.0,3.4388423561325006,3.433128565856795
738.0,0.0,3.4373990461224118,3.4336614203114837
746.0,0.0,3.43686408147227,3.434000532321279
754.0,0.0,3.4358651170616388,3.4340218493780568
762.0,0.0,3.436403384665586,3.434149579975334
770.0,0.0,3.4353767738625445,3.4348744376805205
778.0,0.0,3.4345275974405065,3.433642393147053
786.0,0.0,3.4356677542080574,3.4333693303230888
794.0,0.0,3.435267601538449,3.433298928156651
802.0,0.0,3.43437925441426,3.432533870286728
810.0,0.0,3.4341818746435964,3.4349155365755912
818.0,0.0,3.4349784243470873,3.433745233383775
826.0,0.0,3.4341634869819395,3.432581422419723
834.0,0.0,3.4353087996790332,3.4332576984527075
842.0,0.0,3.4348241660476444,3.434594618991345
850.0,0.0,3.4340514825777557,3.433998665201886
858.0,0.0,3.4341789576584025,3.4337232865401237
866.0,0.0,3.4340625293421847,3.432978644123034
874.0,0.0,3.434537174685952,3.4340497517949724
882.0,0.0,3.434958465566705,3.4333291412701157
890.0,0.0,3.434553178541884,3.4346291590004525
898.0,0.0,3.434024384017385,3.434386219643301
906.0,0.0,3.4340218259510547,3.4333671821551017
914.0,0.0,3.433383732320221,3.433518270421376
922.0,0.0,3.4331194766281614,3.4334255394390967
930.0,0.0,3.434594221915121,3.434350725094211
938.0,0.0,3.433681107125535,3.4334158927084797
946.0,0.0,3.4341538585203746,3.43402486034034
954.0,0.0,3.434688246894868,3.433711935150952
962.0,0.0,3.434618507090975,3.4331236681034123
970.0,0.0,3.4349170761756387,3.4334012278282313
978.0,0.0,3.435442572287687,3.434314813916211
986.0,0.0,3.433885241746399,3.434123652506941
994.0,0.0,3.43469376304316,3.434904535845074
1002.0,0.0,3.434200916626639,3.4335288053828386
1010.0,0.0,3.4345501927172823,3.4342790178511904
1018.0,0.0,3.43480671261891,3.434996317295165
1026.0,0.0,3.4338327427989674,3.4335385988464218
1034.0,0.0,3.4344437195830078,3.434105165033057
1042.0,0.0,3.4334561245403727,3.434400297987373
1050.0,0.0,3.4354114173164825,3.4344026300344486
1058.0,0.0,3.435003865224451,3.433922991985813
1066.0,0.0,3.4346048640917144,3.434271321197266
1074.0,0.0,3.43336767260467,3.434573711398601
1082.0,0.0,3.4339435048062263,3.4346511764338032
1090.0,0.0,3.4345313393559715,3.4343602632361954
1098.0,0.0,3.4345997871288345,3.4337262843793863
1106.0,0.0,3.4324815180483896,3.433563319615966
1114.0,0.0,3.4337863308446295,3.434151298262913
1122.0,0.0,3.4337497052640433,3.434197156626883
1130.0,0.0,3.434647734372628,3.4335324344572946
1138.0,0.0,3.434705204216264,3.433513197621385
1146.0,0.0,3.4340859423051984,3.433533144686652
